iter	RMSE
0	1.098693793
1	1.063781025
2	1.033618936
3	1.006463287
4	0.9767790662
5	0.9517094027
6	0.9276684781
7	0.9037681052
8	0.8849371511
9	0.8676528117
10	0.8501821587
11	0.8325103215
12	0.8168167171
13	0.8029050846
14	0.7897381697
15	0.7791273995
16	0.7656727299
17	0.754713757
18	0.7443670374
19	0.7346769273
20	0.7251496234
21	0.716413952
22	0.7088079639
23	0.6997346972
24	0.6930528246
25	0.6862948127
26	0.6795748296
27	0.6739062238
28	0.6666421997
29	0.6613571667
30	0.654378965
31	0.6496509008
32	0.6444873118
33	0.6402727312
34	0.6345187967
35	0.6295253123
36	0.6259484129
37	0.622732926
38	0.6176382499
39	0.6148220446
40	0.6100567797
41	0.6056105746
42	0.6021528724
43	0.5996830791
44	0.596394758
45	0.5935322753
46	0.5907743693
47	0.588601308
48	0.5855418558
49	0.5827227144
50	0.5793641533
51	0.577412218
52	0.5751325343
53	0.572400544
54	0.5703953877
55	0.5672559524
56	0.5657462735
57	0.5638909458
58	0.5622882248
59	0.560510828
60	0.5585080156
61	0.5571883219
62	0.5559576899
63	0.5538320509
64	0.5520499416
65	0.5505880382
66	0.5490111796
67	0.5477345727
68	0.5462889108
69	0.5445191589
70	0.5429802937
71	0.5416001704
72	0.5393039951
73	0.5381470371
74	0.5369405553
75	0.5360285347
76	0.5342982817
77	0.5333144561
78	0.5319377407
79	0.5308374296
80	0.5293575759
81	0.5285835377
82	0.5268857826
83	0.5256494772
84	0.5249757737
85	0.5240345239
86	0.5234857535
87	0.5224534443
88	0.5215200738
89	0.5203713756
90	0.5195441769
91	0.5179654325
92	0.5166119775
93	0.5160759947
94	0.5152585398
95	0.5138748743
96	0.5130945247
97	0.5112100905
98	0.5104758507
99	0.5095873369
100	0.5088114425
101	0.5081765475
102	0.5075010186
103	0.506428261
104	0.5056772118
105	0.5049202327
106	0.5041927351
107	0.5025598126
108	0.5019593665
109	0.5011548315
110	0.5003858285
111	0.4997786331
112	0.499091917
113	0.4978021995
114	0.4965038156
115	0.4955608738
116	0.494876502
117	0.4937735072
118	0.4921757359
119	0.4914100831
120	0.4905441516
121	0.4899191624
122	0.4893767071
123	0.4887000449
124	0.4882026963
125	0.4877895369
126	0.4867763752
127	0.4855547491
128	0.4849028069
129	0.4843410844
130	0.483829804
131	0.4832415969
132	0.4826611347
133	0.4823163699
134	0.4817005682
135	0.4812877926
136	0.4806318819
137	0.4800440194
138	0.4790607806
139	0.4785090044
140	0.4780136191
141	0.4773487074
142	0.4766873817
143	0.4762124569
144	0.4756456488
145	0.4753350466
146	0.4741684621
147	0.4737916531
148	0.4732949845
149	0.4725953482
150	0.4719605171
151	0.4712665548
152	0.4704505628
153	0.4701452885
154	0.4697745266
155	0.4694684025
156	0.4690739521
157	0.4686169793
158	0.4681508864
159	0.4675914682
160	0.4670037503
161	0.4665666791
162	0.466136105
163	0.4656426378
164	0.4652614444
165	0.464954599
166	0.4644822796
167	0.4641433654
168	0.4635319334
169	0.4632407675
170	0.4627977404
171	0.4623581641
172	0.4619020769
173	0.461319715
174	0.4609646329
175	0.4604269399
176	0.4600566653
177	0.4595434399
178	0.4585240126
179	0.4579934663
180	0.457658827
181	0.4572559644
182	0.4569646488
183	0.4565516123
184	0.4558200854
185	0.4554793325
186	0.4550367353
187	0.4546210406
188	0.4543547843
189	0.4539511393
190	0.4535824359
191	0.4532502105
192	0.4528766593
193	0.4525295172
194	0.4521394838
195	0.451709562
196	0.4512982329
197	0.4510608345
198	0.4507005719
199	0.450447804
200	0.4499163801
201	0.4491453074
202	0.4486898648
203	0.4483926174
204	0.4479210153
205	0.4476679373
206	0.4472455079
207	0.4469076898
208	0.4466851778
209	0.4460134856
210	0.4456449454
211	0.4453094667
212	0.4449450749
213	0.4445601202
214	0.4443015523
215	0.4438727807
216	0.4435716995
217	0.4429045523
218	0.4425596831
219	0.4423756683
220	0.4421576524
221	0.4418819223
222	0.4414862965
223	0.4412493352
224	0.440885323
225	0.4405962898
226	0.4402259345
227	0.4398029901
228	0.4394084102
229	0.4388209576
230	0.4386347224
231	0.4383156144
232	0.437584846
233	0.4372452992
234	0.4368824995
235	0.4366225075
236	0.4364683324
237	0.4361386427
238	0.4358482192
239	0.4355701489
240	0.4351404761
241	0.4348430369
242	0.4344652174
243	0.4342150143
244	0.4338326777
245	0.4335809564
246	0.4334581542
247	0.4330663104
248	0.4325249947
249	0.4323117934
250	0.4320648084
251	0.4317590325
252	0.4312272876
253	0.43088822
254	0.4305764575
255	0.430153742
256	0.4298624297
257	0.4296774298
258	0.4295127568
259	0.4292519168
260	0.4288941391
261	0.4284539429
262	0.4281740242
263	0.4278499011
264	0.4275841569
265	0.427394729
266	0.4271418303
267	0.426828247
268	0.4266988115
269	0.4264109643
270	0.42620714
271	0.4259258797
272	0.4256738546
273	0.4254364038
274	0.4253238434
275	0.4250229109
276	0.4248578997
277	0.4246710715
278	0.4243882753
279	0.4240942911
280	0.423940992
281	0.4236586192
282	0.4233288744
283	0.4229683809
284	0.4227092482
285	0.4223452974
286	0.4221735939
287	0.4218458406
288	0.4216176186
289	0.4212955591
290	0.4208662762
291	0.4205448288
292	0.420295777
293	0.4201824685
294	0.419869745
295	0.4197128305
296	0.4194580761
297	0.4192512879
298	0.4189722931
299	0.4188102068
300	0.4185848276
301	0.4184083
302	0.4182398104
303	0.4179689093
304	0.4177567618
305	0.4176583221
306	0.4174836927
307	0.4169280311
308	0.4166418072
309	0.4164629836
310	0.4161109201
311	0.4158271555
312	0.4156025906
313	0.4154517819
314	0.4152070099
315	0.4149992421
316	0.4147142186
317	0.4144162635
318	0.4142485586
319	0.4140610132
320	0.4139291287
321	0.413689352
322	0.4134602811
323	0.4131526952
324	0.4129596637
325	0.4127993251
326	0.4125476957
327	0.4122493252
328	0.4120821699
329	0.411855555
330	0.4116356115
331	0.4114037248
332	0.4111511467
333	0.4109195775
334	0.4105097296
335	0.4102586972
336	0.4100444525
337	0.4098219798
338	0.4095075662
339	0.4093594161
340	0.4092164835
341	0.4089802815
342	0.408831436
343	0.4085687551
344	0.4084963673
345	0.4082856442
346	0.4081996613
347	0.4080716683
348	0.4077300483
349	0.4075423734
350	0.4074253363
351	0.4072434469
352	0.4071222406
353	0.4069609721
354	0.40671332
355	0.4065508221
356	0.4063309268
357	0.4061995012
358	0.4059774558
359	0.4057772135
360	0.4055664696
361	0.4052865019
362	0.4050223269
363	0.4048919816
364	0.4046207018
365	0.4045528748
366	0.4043138208
367	0.4042175308
368	0.4040128556
369	0.4038529157
370	0.4036970971
371	0.4034069389
372	0.4030686339
373	0.4028100339
374	0.4025098446
375	0.4022529665
376	0.4020371181
377	0.401875876
378	0.4017308614
379	0.4014832786
380	0.4012895636
381	0.4010958874
382	0.4005391009
383	0.4002692076
384	0.4000757394
385	0.3998850369
386	0.3997683871
387	0.3995474182
388	0.3993119068
389	0.3991148373
390	0.3989223777
391	0.3987689168
392	0.3986055275
393	0.3983427627
394	0.3982232665
395	0.3980269333
396	0.3977864492
397	0.3976644131
398	0.3975243464
399	0.3973343018
400	0.3970315631
401	0.3968649502
402	0.3967171597
403	0.3965906667
404	0.3964610919
405	0.3963348344
406	0.3961234564
407	0.3959800058
408	0.3958499663
409	0.3955781665
410	0.3953330868
411	0.3951181029
412	0.3949319297
413	0.3947083224
414	0.3944555429
415	0.3943015722
416	0.3940851377
417	0.3939003035
418	0.3937893351
419	0.3936196873
420	0.3935481777
421	0.3934242059
422	0.3932115218
423	0.3929643992
424	0.3927632987
425	0.3925908829
426	0.3924112898
427	0.3923469307
428	0.3921743386
429	0.3919986331
430	0.3919337221
431	0.3917110616
432	0.3915029291
433	0.391371198
434	0.3910565974
435	0.3908281288
436	0.3906038293
437	0.3904907524
438	0.3903163603
439	0.3901564237
440	0.3899489549
441	0.3898410799
442	0.3897168856
443	0.389400831
444	0.3892900864
445	0.3891812037
446	0.3890155016
447	0.3887996363
448	0.3886604293
449	0.3884803693
450	0.3883376452
451	0.3881371743
452	0.3878803621
453	0.387622482
454	0.3874584038
455	0.3872705892
456	0.3871537483
457	0.3868395286
458	0.3866796194
459	0.3865589657
460	0.3864832117
461	0.3863362766
462	0.3861634551
463	0.3860236189
464	0.385875696
465	0.38561477
466	0.3855086288
467	0.385355522
468	0.385175926
469	0.3849967455
470	0.384896415
471	0.3848383498
472	0.3846810982
473	0.3845821611
474	0.3844500946
475	0.3842619812
476	0.3840741814
477	0.3839347502
478	0.3838376379
479	0.3836578701
480	0.3835070071
481	0.3833694912
482	0.3831051209
483	0.3830140124
484	0.3828123662
485	0.3826495824
486	0.3822866117
487	0.382162225
488	0.3819669018
489	0.3818368747
490	0.3816689708
491	0.381570329
492	0.381465821
493	0.3813290061
494	0.3812402229
495	0.3810383889
496	0.3809395996
497	0.3807497375
498	0.3805877181
499	0.3804239389
500	0.380323012
501	0.3802046948
502	0.3800566049
503	0.3798412597
504	0.3797381318
505	0.3796513017
506	0.3795238095
507	0.3792874133
508	0.3791642442
509	0.3789890217
510	0.3788504542
511	0.378723834
512	0.378591912
513	0.3785381687
514	0.3783819709
515	0.3782482719
516	0.3780744631
517	0.3779609572
518	0.3778486227
519	0.3777042384
520	0.3776222793
521	0.3774634201
522	0.3773532728
523	0.3772445277
524	0.3770877239
525	0.3770124502
526	0.3768342055
527	0.3765942524
528	0.376445494
529	0.3763026695
530	0.3762000008
531	0.3761023593
532	0.3758467922
533	0.3756800418
534	0.3755861599
535	0.375398138
536	0.3752446005
537	0.3751587165
538	0.3749618293
539	0.3746881459
540	0.3745416319
541	0.3743628054
542	0.3742348296
543	0.3741163213
544	0.3739680246
545	0.3738435801
546	0.373682963
547	0.3735148324
548	0.3734276354
549	0.3732425759
550	0.3731099574
551	0.3729831143
552	0.3727402233
553	0.3726551012
554	0.3725875744
555	0.3724809364
556	0.3722298627
557	0.372071952
558	0.3719294882
559	0.3717606128
560	0.3716252357
561	0.3715269796
562	0.3713802714
563	0.3711952485
564	0.3711553852
565	0.370970507
566	0.3708280332
567	0.3706493124
